(p1, p2, p3, p4)    X          A          B          C          D          E
(0, 0, 5, 95) 1029.910034 -12.236995 -9.394163 -25.2316 -7.211906 -811.28907
(0, 0, 5, 95) 1049.869995 -12.596027 -9.893889 -26.483681 -7.419411 -837.2624500000001
(0, 0, 5, 95) 1069.829956 -13.110111 -10.45128 -27.664397 -7.747098 -874.2962950000001
(0, 0, 5, 95) 1089.790039 -13.515401 -10.886553 -28.19207 -7.986058 -899.6358600000001
(0, 0, 5, 95) 1109.76001 -13.743826 -11.382753 -28.948311 -8.33077 -936.1647049999999
(0, 0, 5, 95) 1129.719971 -14.154537 -11.617343 -29.699983 -8.5431 -960.094415
(0, 0, 5, 95) 1149.680054 -14.665749 -12.066991 -30.950411 -8.857296 -996.1951750000001
(0, 0, 5, 95) 1169.640015 -14.910587 -12.340047 -31.743888 -9.196383 -1032.375825
(0, 0, 5, 95) 1189.599976 -15.298585 -12.604107 -32.531656 -9.393335 -1055.0251050000002
(0, 0, 5, 95) 1209.569946 -15.564434 -12.816033 -33.156665 -9.927868 -1108.930785
(0, 0, 5, 95) 1229.530029 -15.847155 -13.079134 -34.643708 -10.212968 -1143.4505
(0, 0, 5, 95) 1249.48999 -16.217069 -13.535734 -35.03322 -10.383887 -1161.6353649999999
(0, 0, 5, 95) 1269.449951 -16.675266 -13.832154 -35.945652 -10.997107 -1224.4534250000002
(0, 0, 5, 95) 1289.410034 -16.800218 -14.119544 -36.705071 -11.107567 -1238.74422
(0, 0, 5, 95) 1309.380005 -17.130345 -14.41662 -37.403813 -11.353483 -1265.59995
(0, 0, 5, 95) 1329.339966 -16.989599 -14.497582 -37.8066 -11.733368 -1303.70296
(0, 0, 5, 95) 1349.300049 -17.465155 -14.901416 -38.847616 -12.238173 -1356.864515
(0, 0, 5, 95) 1369.26001 -17.453338 -15.404008 -39.694753 -12.533346 -1389.141635
(0, 0, 5, 95) 1389.219971 -18.304323 -15.392998 -40.422557 -13.001563 -1437.2612700000002
(0, 0, 5, 95) 1409.189941 -17.903868 -15.512942 -41.040012 -13.281576 -1466.94978
(0, 0, 5, 95) 1429.150024 -18.005073 -15.767996 -41.923801 -13.660315 -1507.34893
(0, 0, 5, 95) 1449.109985 -18.024877 -16.298196 -42.407209 -13.697607 -1513.30871
